Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,Z15966513_0,Z13,-18.2200,-38.7697,-39.7695,-35.9312,-34.1209
7KK4,Z15968907_0,Z07,-19.3868,-43.4387,-45.3856,-40.9840,-33.8547
7KK4,Z56947422_0,Z22,-25.8826,-50.2917,-55.7373,-47.1351,-42.3021
7KK4,Z102620544_0,Z44,-14.7885,-40.9365,-46.8737,-36.1788,-28.4649
7KK4,Z1546683240_0,Z40,-21.9430,-39.1220,-43.0775,-38.5570,-29.2197
7KK4,Z90866044_0,Z44,-39.2445,-53.8790,-57.6795,-46.4420,-41.7902
7KK4,Z94792548_0,Z48,-32.7236,-45.7248,-49.1557,-49.1522,-41.2252
7KK4,Z1144253275_0,Z75,-30.9390,-50.1228,-52.6919,-47.9253,-43.8471
7KK4,Z31275803_0,Z03,-26.0282,-49.0779,-53.8764,-38.0728,-29.1476
7KK4,Z1000944342_0,Z42,-27.7785,-45.9081,-47.6366,-45.5548,-40.3637
7KK4,Z338553690_0,Z90,-26.3650,-42.3255,-43.9082,-39.2440,-31.3982
7KK4,Z30412936_0,Z36,-20.6076,-44.7661,-46.1030,-45.3324,-37.3091
7KK4,Z109079796_0,Z96,-17.2214,-41.0177,-42.7390,-39.5920,-32.1933
7KK4,Z144960474_0,Z74,-15.0182,-41.7084,-43.6902,-40.3628,-34.3071
7KK4,Z1241283913_0,Z13,-23.2397,-37.7350,-40.6744,-37.3973,-33.3563
7KK4,Z1273205452_0,Z52,-7.9550,-35.8230,-37.6314,-32.3610,-26.8563
7KK4,Z1303091240_0,Z40,-23.7910,-49.0492,-51.7546,-45.8056,-43.0076
7KK4,Z1314002620_0,Z20,-24.9348,-43.8578,-44.9052,-40.9118,-37.7073
7KK4,Z1744514456_0,Z56,-9.4989,-34.8000,-37.0062,-33.5474,-28.0038
7KK4,Z1870846256_0,Z56,-30.0646,-39.0727,-41.4298,-37.0460,-31.9128
7KK4,Z14387199_0,Z99,-25.4848,-48.1980,-51.3153,-45.1125,-38.4194
7KK4,Z2524829235_0,Z35,-17.6587,-41.0145,-46.8538,-40.8918,-35.9728
7KK4,Z3396331460_0,Z60,-16.9347,-38.9306,-41.9606,-34.7076,-26.9646
7KK4,Z3396331658_0,Z58,-34.5805,-44.7827,-48.1205,-43.9703,-36.7749
7KK4,Z3396332970_0,Z70,-5.3482,-33.1685,-36.0102,-30.9819,-21.2913
7KK4,Z3396333350_0,Z50,-8.4450,-39.1200,-42.6381,-34.5409,-25.6006
7KK4,Z3396334552_0,Z52,-30.4367,-40.9791,-45.1061,-41.8738,-37.9594
7KK4,Z3396334827_0,Z27,-7.5361,-33.5286,-37.7565,-29.1832,-20.2576
7KK4,Z3396334830_0,Z30,-22.6377,-43.0183,-47.5868,-38.4546,-30.0088
7KK4,Z3396336375_0,Z75,-25.8076,-42.1361,-46.0739,-40.5948,-29.1380
7KK4,Z3396338697_0,Z97,-13.8996,-39.9208,-42.7589,-34.5558,-27.3700
7KK4,Z3396339097_0,Z97,-16.0242,-43.6441,-47.2249,-40.1693,-32.8971
7KK4,Z3396340357_0,Z57,-19.2129,-45.5675,-49.9240,-39.0207,-31.6556
7KK4,Z3396340398_0,Z98,-13.9698,-43.3161,-45.8778,-36.2798,-31.2159
7KK4,Z3396341780_0,Z80,-22.1881,-37.4282,-39.7668,-35.6115,-27.0856
7KK4,Z3396342414_0,Z14,-13.7851,-41.7701,-44.9707,-41.5409,-29.6752
7KK4,Z728741700_0,Z00,-38.6500,-50.5225,-56.2297,-44.9301,-41.0079
7KK4,Z297821306_0,Z06,-15.4892,-38.4041,-39.8013,-36.9469,-27.1837
7KK4,Z73338039_0,Z39,-33.9743,-55.8818,-58.8084,-56.6906,-50.5846
7KK4,Z17499622_0,Z22,-23.6094,-43.7283,-46.0530,-41.3120,-37.1105
7KK4,Z228962058_0,Z58,-31.8880,-45.4116,-46.9803,-42.3624,-36.6626
7KK4,Z26519202_0,Z02,-24.4434,-48.2650,-55.2523,-45.9123,-40.9923
7KK4,Z5456236767_0,Z67,-26.8446,-41.0332,-45.3020,-38.7732,-32.2054
7KK4,Z5456517807_0,Z07,-33.6918,-46.4810,-49.4064,-45.9307,-37.6160
7KK4,Z8462127578_0,Z78,-32.3423,-46.7617,-50.4447,-49.9360,-39.2928
7KK4,Z5922108943_0,Z43,-7.1377,-36.0884,-39.4312,-36.4296,-27.4440
7KK4,Z5992281806_0,Z06,-24.1079,-41.0605,-44.0913,-40.5722,-31.7737
7KK4,Z6309014701_0,Z01,-16.5539,-35.7194,-38.5568,-33.8217,-28.6795
7KK4,Z7746706319_0,Z19,-37.9100,-57.0614,-59.7574,-53.4348,-45.9847
7KK4,Z7776231770_0,Z70,-21.0264,-37.8648,-39.8976,-36.7668,-30.0017
7KK4,Z8213734139_0,Z39,-16.1685,-41.1992,-41.6349,-36.3768,-30.8249
7KK4,Z27542996_0,Z96,-25.9453,-42.5587,-48.7300,-42.2731,-38.2508
7KK4,Z27876246_0,Z46,-28.4611,-48.9719,-55.4323,-42.6871,-48.5448
7KK4,Z29612856_0,Z56,-17.4989,-45.6020,-51.8267,-44.9370,-45.4716
7KK4,Z803620030_0,Z30,-16.8039,-45.7011,-48.3839,-42.1378,-37.8487
7KK4,Z2160281981_0,Z81,-23.0490,-37.3541,-38.8777,-33.8424,-30.2275
7KK4,Z2175636904_0,Z04,-14.4202,-36.4608,-38.7439,-32.4925,-27.5580
7KK4,Z2178243919_0,Z19,-25.3705,-43.5955,-45.6713,-47.2838,-33.3623
7KK4,Z4622601958_0,Z58,-26.8912,-41.8859,-44.0521,-41.4090,-33.6726
7KK4,Z793204136_0,Z36,-31.7058,-48.2846,-50.9403,-45.4421,-41.7688
7KK4,Z228961612_0,Z12,-21.8232,-41.5347,-43.0154,-38.5731,-27.9370
7KK4,Z1654895091_0,Z91,-13.5403,-31.1333,-33.1379,-31.9954,-25.0380
7KK4,Z57054303_0,Z03,-19.4992,-38.7114,-41.0263,-34.2740,-26.7138
7KK4,Z1098716509_0,Z09,-22.7817,-43.6422,-48.1621,-43.2103,-39.2407
7KK4,Z1000148870_0,Z70,-43.1160,-58.5317,-61.2671,-55.7446,-53.1875
7KK4,Z18699678_0,Z78,-14.1678,-41.9705,-48.3199,-39.8531,-41.2267
7KK4,Z18703760_0,Z60,-13.4598,-34.9555,-36.1156,-31.3249,-25.4431
7KK4,Z5213184739_0,Z39,-17.2340,-36.6653,-37.8137,-31.1275,-31.6366
7KK4,Z8377997244_0,Z44,-18.8977,-32.6910,-33.8896,-29.1635,-29.4390
7KK4,Z5213185138_0,Z38,-19.1578,-35.5996,-37.0535,-31.2608,-32.4137
7KK4,Z5215065154_0,Z54,-14.2765,-41.9460,-45.7044,-38.7611,-30.7640
7KK4,Z5232497147_0,Z47,-24.3261,-39.3832,-42.2126,-38.7374,-35.1953
7KK4,Z5232931949_0,Z49,-27.7045,-46.6322,-49.6194,-40.7278,-38.7073
7KK4,Z8156201302_0,Z02,-24.3232,-36.9299,-38.5504,-31.9117,-28.9317
7KK4,Z8174585712_0,Z12,-20.0625,-46.8256,-51.8106,-44.7394,-42.4363
7KK4,Z8174588583_0,Z83,-40.1715,-59.2328,-65.6783,-58.6264,-54.8590
7KK4,Z8174589437_0,Z37,-33.6366,-54.9488,-61.6214,-55.4568,-53.0566
7KK4,Z8174592318_0,Z18,-32.7668,-47.5275,-55.3896,-44.8333,-41.0304
7KK4,Z8174599508_0,Z08,-35.7020,-51.1722,-54.1673,-50.6850,-49.2255
7KK4,Z8174607609_0,Z09,-35.4157,-54.2213,-61.2355,-48.8741,-44.8642
7KK4,Z8174614600_0,Z00,-4.7796,-35.7760,-38.1550,-32.4747,-28.5813
7KK4,Z8259609003_0,Z03,-33.3424,-51.2725,-54.1858,-50.5086,-44.3630
7KK4,Z8271680605_0,Z05,-25.6039,-48.0562,-51.9240,-47.5033,-37.6716
7KK4,Z8174625162_0,Z62,-45.0024,-62.4890,-68.0947,-60.0640,-48.0944
7KK4,Z8259609531_0,Z31,-42.0139,-58.5888,-63.3375,-57.4301,-48.2811
7KK4,Z8259609529_0,Z29,-36.5098,-50.2653,-53.6242,-48.9309,-40.0098
7KK4,Z8174632343_0,Z43,-46.9199,-62.1961,-65.6500,-55.8634,-55.0338
7KK4,Z8174632459_0,Z59,-34.0177,-55.6087,-58.7187,-53.0696,-44.0992
7KK4,Z8174637452_0,Z52,-19.3431,-43.2657,-46.1930,-38.5670,-32.7122
7KK4,Z8271680687_0,Z87,-32.3242,-53.0031,-58.8114,-52.6656,-43.9072
7KK4,Z8264622447_0,Z47,-24.6361,-43.7882,-47.9498,-41.5629,-32.6057
7KK4,Z8174652327_0,Z27,-30.0618,-46.3249,-51.1281,-45.1796,-36.8521
7KK4,Z8264918174_0,Z74,-35.6375,-53.0042,-58.4833,-51.3230,-41.7970
7KK4,Z8271680768_0,Z68,-36.3626,-54.0224,-59.0009,-52.4693,-39.2705
7KK4,Z8271680826_0,Z26,-42.4641,-56.7517,-62.4750,-56.1430,-49.6557
7KK4,Z8271680645_0,Z45,-36.0421,-55.8880,-61.2159,-53.3730,-43.7658
7KK4,Z8174662774_0,Z74,-32.2025,-52.9948,-56.2682,-51.5641,-46.5021
7KK4,Z8174663153_0,Z53,-27.9945,-47.6549,-50.6433,-44.2261,-39.4479
7KK4,Z8174663756_0,Z56,-36.4968,-54.8256,-58.3539,-53.7683,-47.0055
