Protein,Ligand,ID,MMPBSA,MMGBSA_2,MMGBSA_5,MMGBSA_7,MMGBSA_8
7KK4,CHEMBL3965443_0,C43,-35.0472,-50.7926,-56.5181,-46.9660,-37.3293
7KK4,CHEMBL3913202_0,C02,-35.9820,-50.4701,-55.7325,-47.9570,-40.6503
7KK4,CHEMBL3959274_0,C74,-40.7571,-60.7302,-71.3173,-59.9657,-47.0079
7KK4,CHEMBL3945292_0,C92,-40.1960,-55.4705,-64.3307,-54.8013,-43.3594
7KK4,CHEMBL3906970_0,C70,-36.9217,-53.2191,-60.0401,-51.3737,-42.3761
7KK4,CHEMBL3951203_0,C03,-36.7255,-54.9045,-61.1749,-55.0514,-45.3342
7KK4,CHEMBL3950574_0,C74,-32.5884,-56.6562,-65.3739,-54.1038,-50.4649
7KK4,CHEMBL2058913_0,C13,-28.7669,-52.7879,-58.0457,-53.1967,-45.1451
7KK4,CHEMBL2058911_0,C11,-30.4743,-44.9107,-48.9887,-43.3813,-37.8078
7KK4,OLAPARIB_0,OIB,-9.9522,-36.2762,-38.4756,-32.9352,-30.9676
7KK4,CHEMBL493045_0,C45,-34.8700,-44.6324,-47.9939,-44.2239,-39.5327
7KK4,CHEMBL3965685_0,C85,-34.1336,-50.0496,-53.3677,-47.0209,-41.4625
7KK4,CHEMBL3984269_0,C69,-31.5814,-50.3633,-52.9439,-48.0941,-42.8766
7KK4,CHEMBL3959275_0,C75,-42.9336,-47.7859,-51.8494,-46.1269,-41.0108
7KK4,CHEMBL3901842_0,C42,-29.6715,-50.4635,-54.6172,-47.0493,-40.6955
7KK4,CHEMBL3958755_0,C55,-36.0490,-58.9505,-63.6676,-58.7690,-47.6501
7KK4,CHEMBL3972935_0,C35,-32.1889,-48.7714,-52.5294,-45.8186,-40.6627
7KK4,CHEMBL3903770_0,C70,-37.0413,-51.5068,-56.3000,-49.8093,-42.8744
7KK4,CHEMBL3981249_0,C49,-46.0993,-55.9865,-61.2510,-50.3270,-45.5081
7KK4,CHEMBL3925997_0,C97,-30.4490,-50.9489,-53.8166,-50.1849,-44.6735
7KK4,CHEMBL3919281_0,C81,-35.8252,-53.8719,-57.7660,-53.5453,-39.8105
7KK4,CHEMBL3958597_0,C97,-43.3898,-55.5450,-59.8300,-56.7256,-50.0318
7KK4,CHEMBL3971705_0,C05,-40.3819,-56.0442,-60.0234,-56.8301,-51.8907
7KK4,CHEMBL3907189_0,C89,-29.7293,-51.3892,-54.7881,-49.0703,-44.5345
7KK4,CHEMBL3952003_0,C03,-45.1182,-52.8955,-56.3299,-53.0570,-49.3624
7KK4,CHEMBL3922478_0,C78,-32.1611,-52.3297,-55.9919,-49.7119,-44.8084
7KK4,CHEMBL3938218_0,C18,-44.3564,-56.2566,-60.6281,-54.0177,-49.7475
7KK4,CHEMBL3939380_0,C80,-41.8301,-54.5683,-59.5753,-54.7756,-48.1367
7KK4,CHEMBL3911328_0,C28,-45.8280,-57.4396,-62.1250,-56.6255,-50.9320
7KK4,CHEMBL3911333_0,C33,-47.5027,-56.9303,-61.4939,-53.2449,-47.4049
7KK4,CHEMBL3889976_0,C76,-38.6070,-51.2812,-55.0863,-49.1093,-42.7159
7KK4,CHEMBL3954628_0,C28,-36.1893,-49.1792,-54.5678,-47.8430,-41.6618
7KK4,CHEMBL3963719_0,C19,-47.3484,-59.7792,-67.3462,-61.1265,-51.0237
7KK4,CHEMBL3984680_0,C80,-31.8148,-59.2687,-63.3518,-58.0225,-49.6762
7KK4,CHEMBL3955805_0,C05,-28.1383,-48.2456,-51.1796,-47.3923,-41.3560
7KK4,CHEMBL3950202_0,C02,-34.6291,-54.7937,-59.0008,-52.4548,-47.8507
7KK4,CHEMBL3972264_0,C64,-38.8983,-55.4553,-59.3265,-52.7677,-45.7097
7KK4,CHEMBL3949787_0,C87,-38.2029,-54.3760,-57.8809,-51.5230,-45.5030
7KK4,CHEMBL3897575_0,C75,-33.5961,-52.8988,-58.0491,-49.0983,-41.2673
7KK4,CHEMBL3931503_0,C03,-40.9241,-56.7134,-60.6736,-52.6428,-46.3671
7KK4,CHEMBL3935119_0,C19,-35.8498,-54.6754,-58.4277,-51.6973,-46.4276
7KK4,CHEMBL3965762_0,C62,-27.7476,-53.6371,-58.0674,-50.0693,-43.2323
7KK4,CHEMBL3967707_0,C07,-42.4706,-55.6530,-59.1455,-50.8825,-44.7830
7KK4,CHEMBL3946931_0,C31,-29.3028,-50.4802,-53.8173,-44.9359,-40.6747
7KK4,CHEMBL3930573_0,C73,-29.1701,-48.5036,-52.7792,-43.7067,-38.6612
7KK4,CHEMBL3912900_0,C00,-32.9342,-50.5369,-54.4417,-45.9438,-41.4454
7KK4,CHEMBL3980226_0,C26,-35.1007,-49.2110,-51.6596,-49.3504,-39.9966
7KK4,CHEMBL3919974_0,C74,-43.1132,-56.2694,-59.6489,-57.9191,-52.9156
7KK4,CHEMBL3907646_0,C46,-36.3521,-46.9448,-48.4478,-44.3222,-42.4790
7KK4,CHEMBL2058688_0,C88,-45.8339,-56.2191,-60.1581,-54.8854,-48.1169
7KK4,CHEMBL3915702_0,C02,-48.4633,-57.4985,-60.6601,-57.6698,-53.3147
7KK4,CHEMBL3908878_0,C78,-39.4049,-57.1799,-60.1025,-56.2480,-52.1438
7KK4,CHEMBL3981743_0,C43,-51.8082,-58.2681,-61.2582,-57.6747,-55.0501
7KK4,CHEMBL3958218_0,C18,-42.1846,-55.8580,-58.1191,-53.8880,-49.2939
7KK4,CHEMBL3967582_0,C82,-41.9105,-59.6204,-62.2366,-58.5596,-53.3694
7KK4,CHEMBL3948359_0,C59,-41.7685,-51.0684,-53.9459,-51.8669,-46.9056
7KK4,CHEMBL3920833_0,C33,-44.5489,-56.8599,-59.8412,-57.8657,-52.3380
7KK4,CHEMBL3920948_0,C48,-39.4486,-52.8588,-55.0708,-52.0955,-47.2988
7KK4,CHEMBL2058687_0,C87,-47.3019,-59.6732,-62.0551,-58.1264,-51.6881
7KK4,CHEMBL3910314_0,C14,-32.4561,-50.9437,-53.9240,-50.5713,-47.8831
7KK4,CHEMBL3934052_0,C52,-40.7741,-51.9809,-54.9536,-52.6598,-45.2815
7KK4,CHEMBL3910835_0,C35,-47.4135,-59.0082,-62.2525,-57.6421,-52.5659
7KK4,CHEMBL3901816_0,C16,-41.9658,-56.2645,-60.9709,-54.5155,-47.3029
7KK4,CHEMBL3972881_0,C81,-38.9599,-52.2057,-56.5580,-51.5604,-46.3197
7KK4,CHEMBL3933621_0,C21,-33.0725,-49.4597,-51.6878,-48.9355,-41.9496
7KK4,CHEMBL3985223_0,C23,-45.9026,-50.8459,-54.4841,-49.7267,-46.2085
7KK4,CHEMBL3919621_0,C21,-47.9507,-65.5088,-72.7220,-62.8707,-53.2415
7KK4,CHEMBL3959338_0,C38,-49.3915,-65.9358,-73.6780,-62.4683,-52.0707
7KK4,CHEMBL3964591_0,C91,-37.8362,-54.0406,-59.7074,-49.9523,-46.2751
7KK4,CHEMBL3974297_0,C97,-41.3157,-50.8870,-53.6376,-49.4350,-45.9792
7KK4,CHEMBL3977299_0,C99,-45.4525,-61.8873,-66.6738,-61.5715,-53.2009
7KK4,CHEMBL3932374_0,C74,-34.6086,-55.9686,-60.2655,-56.2174,-46.6614
7KK4,CHEMBL3891180_0,C80,-32.0893,-58.1898,-61.9879,-57.7188,-48.4274
7KK4,CHEMBL3919265_0,C65,-34.7075,-58.7837,-63.0185,-56.0701,-49.1740
7KK4,CHEMBL3985672_0,C72,-44.9119,-61.8503,-65.1957,-60.8554,-55.3725
7KK4,CHEMBL3938809_0,C09,-38.6226,-53.2180,-56.9858,-51.2900,-46.9830
7KK4,CHEMBL3909439_0,C39,-37.9269,-44.5533,-47.4747,-43.0723,-39.6101
7KK4,CHEMBL3892556_0,C56,-35.9823,-48.1269,-50.4117,-47.7881,-40.3159
7KK4,CHEMBL3960133_0,C33,-38.1592,-51.0243,-54.3452,-49.0485,-45.2423
7KK4,CHEMBL3949296_0,C96,-21.9388,-43.2615,-46.1043,-43.1762,-33.5960
7KK4,CHEMBL3957031_0,C31,-28.1968,-50.4109,-53.3350,-51.0485,-43.2707
7KK4,CHEMBL3916714_0,C14,-35.5178,-51.2228,-54.0406,-52.6130,-44.8025
7KK4,CHEMBL3936878_0,C78,-34.6207,-55.1719,-60.4559,-50.5077,-41.1930
7KK4,CHEMBL3979859_0,C59,-31.6363,-44.1420,-46.2104,-42.6057,-36.0861
7KK4,CHEMBL3904765_0,C65,-31.6816,-54.3659,-57.2127,-50.8648,-47.5690
7KK4,CHEMBL3913258_0,C58,-36.2994,-52.9767,-56.5857,-50.9353,-45.5733
7KK4,CHEMBL3934967_0,C67,-34.4029,-51.8204,-54.9974,-53.5384,-43.5586
7KK4,CHEMBL4114777_0,C77,-37.5633,-60.3050,-65.4779,-61.2283,-50.8122
7KK4,CHEMBL3933847_0,C47,-40.8095,-52.2186,-55.2200,-50.8475,-47.5202
7KK4,CHEMBL3950628_0,C28,-38.9996,-54.2058,-56.2290,-52.8402,-49.2734
7KK4,CHEMBL3934924_0,C24,-40.0164,-54.2601,-57.1665,-52.0350,-48.1680
7KK4,CHEMBL3949339_0,C39,-43.2544,-58.7160,-63.1738,-59.1153,-52.8317
7KK4,CHEMBL3898013_0,C13,-38.4957,-57.4405,-59.7887,-55.0844,-51.1892
7KK4,CHEMBL3986547_0,C47,-33.9046,-52.2686,-54.1124,-49.2406,-46.0853
7KK4,CHEMBL3911509_0,C09,-33.0930,-56.7013,-60.9742,-54.2508,-47.0256
7KK4,CHEMBL3897004_0,C04,-32.2568,-55.0541,-58.3961,-51.3619,-47.5721
7KK4,CHEMBL3965068_0,C68,-35.5930,-49.3135,-51.9682,-48.5273,-42.5326
7KK4,CHEMBL3941297_0,C97,-36.2779,-58.0849,-60.8307,-56.0888,-48.2860
7KK4,CHEMBL3926924_0,C24,-46.8089,-59.8635,-64.4924,-57.0034,-49.3508
7KK4,CHEMBL3894049_0,C49,-47.7585,-54.9477,-58.8711,-54.1349,-49.8091
7KK4,CHEMBL3922304_0,C04,-38.8622,-58.3604,-62.1697,-58.5124,-46.9730
7KK4,CHEMBL3953479_0,C79,-46.8324,-63.9255,-67.6749,-61.9007,-55.0424
7KK4,CHEMBL3913570_0,C70,-38.6011,-56.6868,-60.8134,-56.1413,-49.5328
7KK4,CHEMBL3944750_0,C50,-38.6077,-56.5310,-61.3029,-54.7707,-47.9087
7KK4,CHEMBL3983389_0,C89,-49.8141,-59.6577,-63.6395,-59.5202,-50.9491
7KK4,CHEMBL3927211_0,C11,-35.7800,-52.4569,-57.3628,-50.4740,-43.2654
7KK4,CHEMBL3920261_0,C61,-37.7228,-50.4304,-55.0750,-49.2168,-43.4672
7KK4,CHEMBL3893791_0,C91,-39.4666,-54.6484,-58.6294,-52.4446,-47.4988
7KK4,CHEMBL3940294_0,C94,-38.7053,-55.0727,-58.3704,-52.1968,-48.9571
7KK4,CHEMBL3937891_0,C91,-32.8609,-52.2170,-54.3827,-49.7146,-47.0409
7KK4,CHEMBL3946791_0,C91,-39.2627,-53.5785,-57.0408,-52.2695,-48.6171
7KK4,CHEMBL3941896_0,C96,-41.9965,-52.2698,-54.9071,-50.6897,-46.3909
7KK4,CHEMBL3921033_0,C33,-41.3272,-54.1602,-57.0195,-51.8745,-48.0264
7KK4,CHEMBL3899001_0,C01,-41.4338,-56.0590,-62.1781,-53.4530,-44.8221
7KK4,CHEMBL3980444_0,C44,-40.7983,-56.4444,-62.2451,-53.4755,-49.8640
7KK4,CHEMBL3926688_0,C88,-36.5107,-50.2623,-55.5190,-46.4346,-43.2817
7KK4,CHEMBL3914521_0,C21,-43.7571,-58.9022,-64.3361,-55.6601,-47.3906
7KK4,CHEMBL3984349_0,C49,-46.8282,-59.9355,-64.6707,-59.0042,-52.8571
